Unnamed: 0,created_at,text,user_name,user_location,retweet_count,favorite_count
1804,13/03/2020 15:33,RT paul kordieh Being blind or deaf alone can be very challenging at times How about having the two deaf blind My guest today on Liv ,Emma Wenani,Accra Ghana ,3,0
1805,13/03/2020 15:32,RT RexConnors After a great call with coach Elliss BigFam94 I m proud to announce I have received an offer to continue my education at U ,pgvikingsfootball,Pleasant Grove UT,10,0
1806,13/03/2020 15:32,What would be a normal scene during May s end of semester move out is taking place 2 months early and with a level ,Kelly Meyerhofer,Madison WI,2,5
1807,13/03/2020 15:31,The Canadian Restaurant amp Bar Show 2020 Canada s most unique foodservice show returns to Toronto from Nov 1 2 ,The CR B Show CRBShow,Mississauga Ontario,0,0
1808,13/03/2020 15:31,RT decjordan Despite university closures in Ireland due to COVID19 the SRERC UCC virtual visiting speaker series goes ahead next week ,HEAi,Ireland,7,0
1809,13/03/2020 15:31,RT PorterConnors After a great call with coach Elliss BigFam94 I m proud to announce I have received my first D1 offer to continue my ed ,pgvikingsfootball,Pleasant Grove UT,17,0
1810,13/03/2020 15:31,If you missed the webinar put on yesterday by the Center for Higher Education Leadership on what college and unive ,Shelley Seale,Austin Texas,0,0
1811,13/03/2020 15:31,RT HistoricaCanada Our new education guide Residential Schools in Canada aims to raise awareness of the history of residential schools ,isabella mori,richmond musqueam territory,77,0
1812,13/03/2020 15:31, jeffwhelpley It is funny how many right wing people complain about the idea of university fees covered by taxes b ,Sebastia N Witalec in ,London,0,1
1813,13/03/2020 15:31,RT SwanseaUni We re thrilled to have reached the final in the Student Experience category in this year s Guardian University Awards R ,Amira Guirguis PhD,nan,9,0
1814,13/03/2020 15:30,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,Steven Goddard,Warwickshire,143,0
1815,13/03/2020 15:30, We care for communities We do that through education we are truly at a historic moment University of Nebraska Medical Center,Marlo Lundak,Lincoln NE,0,0
1816,13/03/2020 15:30,Find out all about university level study with Nottingham College at our Information Evening on the 18th March You ,Nottingham College,Nottingham,0,1
1817,13/03/2020 15:30,Liberty University President Jerry Falwell Jr announced Friday that in person classes will resume when spring brea ,The Roanoke Times,Roanoke Virginia,2,2
1818,13/03/2020 15:30,The UoNSoE CRME seminar Alan Schoenfeld What have we learned since Polya s introspection ,Geoff Wake ,Europe,2,1
1819,13/03/2020 15:30, FTIConsulting s Transaction Services team advised Providence Equity Partners on the disposal of Galileo Global Edu ,Graham Tilbury,Planet Earth,0,0
1820,13/03/2020 15:29,RT ABC4Rosie Multiple universities moved classes online for the rest of the semester to minimize the possible spread of COVID 19 in Utah ,Jason Nguyen,Salt Lake City UT,2,0
1821,13/03/2020 15:29,RT HistoricaCanada Our new education guide Residential Schools in Canada aims to raise awareness of the history of residential schools ,uninspired ,nan,77,0
