,created_at,text,user_name,user_location,retweet_count,favorite_count
398,13/03/2020 22:11,@AmritaBharat Am so interested to come and  study in Canada. Please you can help me fine school. Canada is my dream… https://t.co/7LYzqrDp8O,sudaiswalker,,0,0
399,13/03/2020 22:10,RT @arbiteronline: The Idaho State Board of Education is currently holding a special meeting to discuss post-secondary education and corona…,Brandon (RIP Kobe/Gigi Bryant) Williams,Hidden Leaf Village ,5,0
400,13/03/2020 22:09,RT @edinburghpaper: Coronavirus: Edinburgh University to move classes online and cancel exams https://t.co/BQXe2e3aYA,Kieran Buxton,"Edinburgh, Scotland",17,0
401,13/03/2020 22:09,RT @lorchBRI: Transition to net-zero built environment requires new knowledge &amp; skills for next gen professionals.  A major impediment is l…,Dr Tim Forman,"Cambridge, UK",0,0
402,13/03/2020 22:09,@Libarbarian @jkenney The talent and education required to help us in times of duress such as this come from university educators!,Theresa Shea,Canada,0,0
403,13/03/2020 22:09,This... and the reaction.  https://t.co/r5AsQIi5hc,Goldie Blumenstyk,"Washington, D.C.",0,1
404,13/03/2020 22:09,RT @abc7breaking: #Breaking - UTEP President Heather Wilson will discuss university’s coronavirus precautions shortly. Watch it LIVE by cli…,Rodney Crenshaw,"Fort Bliss, TX",5,0
405,13/03/2020 22:08,RT @JoeHeim: Liberty University students I spoke with aren't happy with President Falwell's decision https://t.co/SrGcK3QP1c,Hank Stuever,D.C.,7,0
406,13/03/2020 22:07,"RT @kim_siever: @albertaNDP also leading over the @Alberta_UCP with people making under $100,000 and with people with at least a university…",Karen?????#ForTheW,Somewhere SMH,5,0
407,13/03/2020 22:07,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",USS Fact Check,,32,0
408,13/03/2020 22:07,@JibrinIbrahim17 Another attempt to monopolise the University education for the children of well-to-do ?,BATIGOAL,"Lagos, Nigeria",0,0
409,13/03/2020 22:07,RT @theIMEU: Rep. Paul Gosar (R-AZ) is calling for the Department of Education to investigate the Center for Middle East Studies at the Uni…,S. Hallstrom,,5,0
410,13/03/2020 22:07,@citygirlnomore @BorisJohnson And your education level is? I’m guessing the only time you would have ventured anywh… https://t.co/kbmrJRZJPb,Jon Bradburn,Manchester village on't Irwell,0,0
411,13/03/2020 22:07,"RT @australian: #EXCLUSIVE: Western Sydney University is offering $1,500 payments to Chinese students to help fund travel packages to third…",NationBuildingParty,"Newcastle, New South Wales",223,0
412,13/03/2020 22:06,RT @JoeHeim: Liberty University students I spoke with aren't happy with President Falwell's decision https://t.co/SrGcK3QP1c,maria smith,,7,0
413,13/03/2020 22:06,RT @_zairej: Shit went from Howard University to Education Connection,Kraig if you don’t,"Lancaster, PA",13,0
414,13/03/2020 22:05,"@SusSci @SLFestivalAus @MonashMSDI @Monash_Science Hello! Am so interested to study Canada, you can fine me school,… https://t.co/qsCYbGv2JC",sudaiswalker,,0,0
415,13/03/2020 22:05,Liberty University President Jerry Falwell Jr. says in-person classes to continue https://t.co/VTnkjOV7R3 https://t.co/5R6SjEANOI,The Resistance Movement?,A2-Michigan #GoBlue!,0,0
416,13/03/2020 22:05,RT @_zairej: Shit went from Howard University to Education Connection,Kristen Lynem-Wilson,Howard University,13,0
417,13/03/2020 22:05,RT @arbiteronline: The Idaho State Board of Education is currently holding a special meeting to discuss post-secondary education and corona…,?Don Day,"Boise, ID",5,0
418,13/03/2020 22:05,"As someone who is ‘stupid foreigner’ with university degrees as medical doctor, BSc (Hons) and MBA in finance I am… https://t.co/cmm9d69QTx",Jasna Badzak,,0,0
419,13/03/2020 22:05,"RT @ms_ahaabwa: Today in #WomensHistoryMonth we honour Eunice Lubega Posnansky, the first Ugandan woman to graduate from an African univers…",J C Brou,"Texas, for now. Africa later.",15,0
420,13/03/2020 22:05,"RT @rally4resources: They also worked AGAINST

??14 Indigenous communities that would've benefited

??40+ years of economic benefits

??700…",William Taylor,"Division No.  5, Alberta",118,0
421,13/03/2020 22:04,"RT @David__Osland: There are millions of impoverished boomers who are still renting and never did get that free university education, and p…",Catty,,143,0
422,13/03/2020 22:04,The Idaho State Board of Education is currently holding a special meeting to discuss post-secondary education and c… https://t.co/NprAGKfh9e,The Arbiter,"Boise, Idaho 83704",5,10
423,13/03/2020 22:04,RT @abc7breaking: #Breaking - UTEP President Heather Wilson will discuss university’s coronavirus precautions shortly. Watch it LIVE by cli…,Michael Gordon KVIA ABC-7,"El Paso, TX",5,0
424,13/03/2020 22:04,#Breaking - UTEP President Heather Wilson will discuss university’s coronavirus precautions shortly. Watch it LIVE… https://t.co/1DWIB0D22J,KVIA ABC-7 News,El Paso,5,4
425,13/03/2020 22:04,RT @JoeHeim: Liberty University students I spoke with aren't happy with President Falwell's decision https://t.co/SrGcK3QP1c,Grace&peacelovingRN,"California, USA",7,0
426,13/03/2020 22:03,RT @WSJMattD4: 1st UW-Madison case of COVID-19 coronavirus identified in vet school employee https://t.co/U3Kz6iHxFr via @madisondotcom,Marisa Wojcik,"Madison, WI",6,0
427,13/03/2020 22:02,"#InternationalTruck has advanced vehicle technologies that call for comprehensive training in service systems, main… https://t.co/ru1VoDc3vS",Beltway Companies,Maryland,0,0
428,13/03/2020 22:02,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",Journal of Global Faultlines,Pluto Journals,32,0
429,13/03/2020 22:02,"RT @oyostategovt: This afternoon, Gov. Seyi Makinde received the management of University Press PLC on a courtesy visit. 
The team was led…",Jayeola Obafemi Ridwan,?? ,10,0
430,13/03/2020 22:02,RT @JoeHeim: Liberty University students I spoke with aren't happy with President Falwell's decision https://t.co/SrGcK3QP1c,B.J. Gunts,NYC,7,0
431,13/03/2020 22:02,Liberty University President Jerry Falwell Jr. says in-person classes to continue https://t.co/4xEwCz2eKE,Post Local,"Washington, D.C.",1,3
432,13/03/2020 22:01,Liberty University students I spoke with aren't happy with President Falwell's decision https://t.co/SrGcK3QP1c,Joe Heim,Washington DC,7,8
433,13/03/2020 22:01,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",Leon ??????,,32,0
434,13/03/2020 22:01,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",Strathclyde UCU,"University of Strathclyde, Glasgow",32,0
435,13/03/2020 22:01,RT @WSJMattD4: 1st UW-Madison case of COVID-19 coronavirus identified in vet school employee https://t.co/U3Kz6iHxFr via @madisondotcom,Jaxon Brow,"Middleton, WI",6,0
436,13/03/2020 22:00,RT @sophie10790977: @jasonbaum @funder @realDonaldTrump I wonder if your president has got any proper education at all. Does he have an uni…,Leslie Smith,,1,0
