source_name,author,title,description,publishedAt
Canoe.com,,Trump's ban on travel from Europe poses questions for Canada border - Toronto Sun,Trump's ban on travel from Europe poses questions for Canada border Toronto Sun Trump's Europe travel ban poses questions for Canada-U.S. border CTV News Fact check: Trump makes four key errors or omissions in Europe travel announcement CNN Donald Trump has s…,2020-03-12T21:06:00Z
Lfpress.com,,Southwestern Ontario loses all Via service amid anti-pipeline blockades - The London Free Press,"Southwestern Ontario loses all Via service amid anti-pipeline blockades The London Free Press CN says parts of network will close if blockades remain, Via cancels service meadowlakeNOW Quebec and federal officials search for 'peaceful solutions' to end rail b…",2020-02-13T22:25:00Z
TechCrunch,Anthony Ha,Daily Crunch: Waymo raises $2.5B,"Alphabet’s self-driving car company raises its first outside investment, Robinhood goes down and Pixel phones get new gesture controls. Here’s your Daily Crunch for March 3, 2020. 1. Waymo brings in $2.25B from outside investors, Alphabet This is the company’…",2020-03-03T18:43:43Z
TechCrunch,Jon Evans,Burn the EARN IT Act,"I want to talk about malignant incompetence on the part of our elected officials, and this isn’t even about the pandemic. Rather, it’s about the spectacularly misguided, counterproductive, expensive, and overbearing approach to end-to-end encryption by the US…",2020-03-08T23:00:18Z
TechCrunch,J.M. Donaldson,Extra Crunch members get design tool Canva Pro free for 90 days,"Extra Crunch is excited to announce a new community perk from design and publishing platform Canva. Starting today, annual and two-year members of Extra Crunch can receive 90 days of their Pro plan for free. You must be new to Canva to claim this offer, and r…",2020-03-02T17:35:23Z
Globalnews.ca,rdamore,"Canadian coronavirus cases linked to Iran rise, experts question country’s response - Global News","Canadian coronavirus cases linked to Iran rise, experts question country’s response Global News Husband of COVID-19 patient in Toronto tests positive for virus, say health officials CityNews Toronto 7th COVID-19 case confirmed in Ontario, man who travelled to…",2020-02-28T19:59:40Z
TechCrunch,Mike Butcher,"Founders Factory backs Creator Fund, student-led VC to back EU student startups","It seems like everyone wants student entrepreneurs. Entrepreneur First makes startups out of raw student material, for instance. Most countries want high-skilled students to stick around and make new companies. Only the UK likes to charge them a fortune for a…",2020-02-27T00:01:52Z
TechCrunch,Steve O'Hear,"RTP Global outs new $650M early-stage fund to back tech in US, Europe, India and South-East Asia","RTP Global, the VC firm founded by Russian entrepreneur and investor Leonid Boguslavsky, is announcing a new $650 million fund to continue backing early-stage tech startups, primarily at Series A but also some late seed deals and Series B. Of note, the VC’s l…",2020-03-03T08:00:22Z
TechCrunch,Jonathan Shieber,"Canadian online pharmacy, PocketPills has raised $7.35 million as it expands into Quebec","PocketPills, which bills itself as the sole online pharmacy operating in Canada, has raised $7.35 million in new financing as it expands across the country. Through partnerships with insurers like Pacific Blue Cross the company provides co-insurance reduction…",2020-02-20T01:16:34Z
Gizmodo.com,"Alyse Stanley on Earther, shared by Alyse Stanley to Gizmodo",Canadian Pipeline Protests Shut Down Train Service Across the Country,Large portions of Canada’s train service have shut down—including a vital cross-continental rail line—after indigenous land defenders blockaded several major railways in countrywide anti-pipeline protests. Read more...,2020-02-15T19:16:00Z
Ctvnews.ca,Graham Slaughter,"VIA Rail cancels trains across Canada, CN shuts down Eastern Canada network amid pipeline protests - CTV News","VIA Rail cancels trains across Canada, CN shuts down Eastern Canada network amid pipeline protests CTV News Via Rail cancels most trains nationwide, CN closes Eastern Canadian network as Indigenous protests continue CBC.ca Industry groups warn rail protests a…",2020-02-13T21:50:00Z
Reuters,Jeff Lewis,Miners avoid handshakes at Toronto meeting over coronavirus fears,"Miners in Toronto for an annual industry dealmaking event slathered on hand sanitizer and avoided handshakes, while Chile's mines minister doled out masks as coronavirus concerns overshadowed buyout buzz and prompted delegates to scrap some events.",2020-03-02T19:44:17Z
Ctvnews.ca,,North American stock markets rally to start the week higher; loonie climbs - CTV News,"North American stock markets rally to start the week higher; loonie climbs CTV News At midday: TSX reverses early slide and jumps higher The Globe and Mail Toronto market down in early trading to start the week, loonie edges higher CP24 Toronto's Breaking New…",2020-03-02T16:47:00Z
Yahoo.com,,Husky CEO slams Ottawa for derailing projects with politics - Yahoo Canada Finance,Husky CEO slams Ottawa for derailing projects with politics Yahoo Canada Finance Husky Energy CEO blames regulatory process 'that just went on and on' for end of Teck Frontier mine CBC.ca Experts say Alberta hasn’t learned the lesson about climate change and …,2020-02-27T20:05:00Z
BBC News,https://www.facebook.com/bbcnews,Coronavirus: How a misleading map went global,"A British university says ""an incorrect story... spiralled"" from its research into the virus's spread.",2020-02-19T00:21:52Z
Castanet.net,,Privacy watchdog probes RCMP use of facial-recognition software - Canada News - Castanet.net,Privacy watchdog probes RCMP use of facial-recognition software - Canada News Castanet.net RCMP's use of Clearview AI facial recognition technology under investigation CBC.ca Facial recognition app Clearview AI has been used far more widely in Canada than pre…,2020-02-28T18:30:00Z
CNN,"Steve Almasy, CNN",Duke won't play in March Madness after university suspends sports competition,"Five-time national champion Duke University will not play in the NCAA men's basketball tournament because of coronavirus concerns, the school announced Thursday.",2020-03-12T19:58:35Z
Globalnews.ca,Alexander Quon,Coronavirus to slash Atlantic Canada’s cruise season - Global News,Coronavirus to slash Atlantic Canada’s cruise season Global News COVID-19: Feds announce restrictions to overseas flights and further limits on cruises CTV News Victoria city council asking for ban on cruise ship visits to city amid coronavirus pandemic Globa…,2020-03-13T19:52:19Z
Globalnews.ca,mattbingley,COVID-19 spurs calls to reduce traffic in Toronto hospitals - Global News,COVID-19 spurs calls to reduce traffic in Toronto hospitals Global News FUREY: It seems the public health system really is working in Canada – for now Toronto Sun Risk of coronavirus remains low - Chirico The North Bay Nugget Toronto man who returned from Swi…,2020-03-10T23:12:15Z
